Year,Month,Day,State,Event Type
1964,June,18,MINNESOTA,Thunderstorm Wind
1964,June,18,MINNESOTA,Tornado
1964,June,18,MINNESOTA,Tornado
1964,May,4,MINNESOTA,Hail
1964,May,4,MINNESOTA,Hail
1964,April,13,MINNESOTA,Tornado
1964,April,27,MINNESOTA,Thunderstorm Wind
1964,September,9,MINNESOTA,Tornado
1965,May,6,MINNESOTA,Tornado
1965,May,6,MINNESOTA,Hail
1965,May,6,MINNESOTA,Tornado
1965,May,6,MINNESOTA,Tornado
1965,May,6,MINNESOTA,Tornado
1965,May,6,MINNESOTA,Tornado
1965,May,6,MINNESOTA,Hail
1965,May,6,MINNESOTA,Hail
1965,May,6,MINNESOTA,Tornado
1965,May,6,MINNESOTA,Tornado
1965,May,6,MINNESOTA,Tornado
1965,June,22,MINNESOTA,Tornado
1965,June,27,MINNESOTA,Thunderstorm Wind
1965,June,27,MINNESOTA,Hail
1965,July,1,MINNESOTA,Hail
1965,July,1,MINNESOTA,Hail
1965,July,1,MINNESOTA,Tornado
1965,July,1,MINNESOTA,Hail
1965,July,1,MINNESOTA,Thunderstorm Wind
1965,July,1,MINNESOTA,Hail
1965,July,1,MINNESOTA,Thunderstorm Wind
1965,May,6,MINNESOTA,Hail
1965,May,7,MINNESOTA,Hail
1965,May,7,MINNESOTA,Thunderstorm Wind
1965,May,7,MINNESOTA,Hail
1965,May,7,MINNESOTA,Hail
1965,May,7,MINNESOTA,Hail
1965,May,7,MINNESOTA,Tornado
1965,May,8,MINNESOTA,Thunderstorm Wind
1965,May,24,MINNESOTA,Tornado
1965,May,24,MINNESOTA,Tornado
1965,May,31,MINNESOTA,Hail
1965,June,2,MINNESOTA,Hail
1965,June,5,MINNESOTA,Tornado
1965,June,5,MINNESOTA,Tornado
1965,June,9,MINNESOTA,Hail
1965,June,19,MINNESOTA,Hail
1965,June,19,MINNESOTA,Thunderstorm Wind
1965,May,6,MINNESOTA,Tornado
1965,May,6,MINNESOTA,Tornado
1965,May,5,MINNESOTA,Tornado
1965,May,5,MINNESOTA,Tornado
1965,August,2,MINNESOTA,Tornado
1965,August,3,MINNESOTA,Tornado
1965,August,5,MINNESOTA,Thunderstorm Wind
1965,August,16,MINNESOTA,Hail
1965,July,30,MINNESOTA,Thunderstorm Wind
1965,July,30,MINNESOTA,Thunderstorm Wind
1965,May,3,MINNESOTA,Hail
1965,May,3,MINNESOTA,Thunderstorm Wind
1965,May,3,MINNESOTA,Hail
1965,May,5,MINNESOTA,Tornado
1965,May,5,MINNESOTA,Tornado
1965,May,5,MINNESOTA,Hail
1965,May,5,MINNESOTA,Tornado
1965,August,24,MINNESOTA,Hail
1965,August,25,MINNESOTA,Hail
1965,August,25,MINNESOTA,Hail
1965,August,25,MINNESOTA,Tornado
1965,September,17,MINNESOTA,Tornado
1965,May,5,MINNESOTA,Tornado
1965,May,5,MINNESOTA,Tornado
1965,May,5,MINNESOTA,Tornado
1965,May,5,MINNESOTA,Tornado
1965,May,5,MINNESOTA,Tornado
1965,May,5,MINNESOTA,Tornado
1965,July,30,MINNESOTA,Thunderstorm Wind
1965,July,31,MINNESOTA,Hail
1965,August,2,MINNESOTA,Hail
1965,August,2,MINNESOTA,Thunderstorm Wind
1965,August,2,MINNESOTA,Hail
1965,July,4,MINNESOTA,Hail
1965,July,4,MINNESOTA,Tornado
1965,July,5,MINNESOTA,Tornado
1965,July,6,MINNESOTA,Tornado
1965,July,7,MINNESOTA,Thunderstorm Wind
1965,July,8,MINNESOTA,Hail
1965,July,8,MINNESOTA,Thunderstorm Wind
1965,July,8,MINNESOTA,Thunderstorm Wind
1965,July,12,MINNESOTA,Thunderstorm Wind
1965,July,12,MINNESOTA,Tornado
1965,July,12,MINNESOTA,Thunderstorm Wind
1965,July,12,MINNESOTA,Tornado
1965,July,15,MINNESOTA,Hail
1965,July,15,MINNESOTA,Hail
1965,July,16,MINNESOTA,Thunderstorm Wind
1965,July,16,MINNESOTA,Hail
1965,July,16,MINNESOTA,Hail
1965,July,16,MINNESOTA,Thunderstorm Wind
1965,July,16,MINNESOTA,Hail
1965,July,16,MINNESOTA,Hail
1965,July,16,MINNESOTA,Thunderstorm Wind
1965,July,16,MINNESOTA,Thunderstorm Wind
1965,July,17,MINNESOTA,Hail
1965,July,17,MINNESOTA,Hail
1965,July,17,MINNESOTA,Hail
1965,July,18,MINNESOTA,Hail
1965,July,18,MINNESOTA,Thunderstorm Wind
1965,July,23,MINNESOTA,Thunderstorm Wind
1965,July,23,MINNESOTA,Tornado
1965,July,23,MINNESOTA,Thunderstorm Wind
1966,July,11,MINNESOTA,Thunderstorm Wind
1966,June,22,MINNESOTA,Thunderstorm Wind
1966,June,24,MINNESOTA,Tornado
1966,June,25,MINNESOTA,Thunderstorm Wind
1966,June,25,MINNESOTA,Tornado
1966,June,25,MINNESOTA,Thunderstorm Wind
1966,July,2,MINNESOTA,Tornado
1966,July,2,MINNESOTA,Thunderstorm Wind
1966,July,4,MINNESOTA,Tornado
1966,July,4,MINNESOTA,Hail
1966,July,4,MINNESOTA,Hail
1966,July,4,MINNESOTA,Thunderstorm Wind
1966,July,4,MINNESOTA,Tornado
1966,July,4,MINNESOTA,Tornado
1966,July,4,MINNESOTA,Thunderstorm Wind
1966,July,4,MINNESOTA,Thunderstorm Wind
